Bratrský spisovatel Jan Josquin /,,,1956,"['Josquin, Jan,', 'Solín, Václav,', 'Hostinský, Otakar,', 'Holtz, Josquin von', 'Červenka, Matěj,', 'Malíř, J.', 'Dolanský, Ladislav,']",['hudební teorie'],['články']
Rukopisný zlomek spisu br. Tůmy Přeloučského /,,,1955,"['Tůma Přeloučský,']",['fragmenty rukopisů'],['stati']
Zdeněk Nejedlý o zpěvu předhusitském a husitském /,,,1953,"['Nejedlý, Zdeněk,']","['muzikologie', 'muzikologie', 'muzikologie', 'muzikologie']",['studie']
"Komenského boj Michala s drakem : k článku Fr. R. Tichého: J. A. Komenského spisek o andělích, Listy fil. 1954, s. 76-102 /",,,1955,"['Tichý, František Rut,', 'Komenský, Jan Amos,', 'Hendrich, Josef,', 'Drabík, Mikuláš,', 'Souček, Stanislav,']","['autorství literárních děl', 'autorství literárních děl', 'autorství literárních děl']",['články']
"Komenského Metafysika z leningradského rukopisu : k sedmdesátinám akademika Antonína Salače, důkaz o autorství /",,,1955,"['Wundt, Max,', 'Komenský, Jan Amos,', 'Hendrich, Josef,', 'Bartoš, František Michálek,', 'Čupr, Karel,', 'Souček, Stanislav,', 'Salač, Antonín,']","['učebnice', 'učebnice', 'učebnice', 'učebnice', 'učebnice']",['články']
Jan Hus: Knížky o svatokupectví /,,,1955,"['Hus, Jan,', 'Hrabák, Josef,', 'Flajšhans, Václav,', 'Gregor, Alois,']","['rukopisy', 'rukopisy']",['recenze']
Jan Amos Komenský: Moudrost starých Čechů za zrcadlo vystavená potomkům /,,,1955,"['Komenský, Jan Amos,', 'Flajšhans, Václav,', 'Souček, Stanislav,', 'Novák, Jan Václav,', 'Svejkovský, František,']","['kritická vydání', 'kritická vydání']",['recenze']
J. A. Komenského Spisek o andělích /,,,1954,"['Hendrich, Josef,', 'Říčan, Rudolf,', 'Jungmann, Josef,', 'Palacký, František,', 'Novák, Jan Václav,', 'Kvačala, Ján,', 'Zíbrt, Čeněk,', 'Souček, Stanislav,', 'Konečný, Matouš,', 'Žalanský-Phaëthon, Havel,']","['jezuité', 'jezuité', 'jezuité', 'jezuité', 'jezuité', 'jezuité']",['články']
Bezručova balada Pole na horách /,,,1954,"['Bezruč, Petr,']","['textová analýza', 'textová analýza', 'textová analýza', 'textová analýza']",['analýzy']
Listy Jana Winklera Aloisu Vojtěchu Šemberovi /,,,1954,"['Winkler, Jan,', 'Šembera, Alois Vojtěch,']","['korespondence', 'korespondence', 'korespondence']",['studie']
L. J. Šeršník a Gelasius Dobner /,,,1954,"['Šeršník, Leopold Jan,', 'Dobner, Gelasius,', 'Pubička, František,']","['knihovní katalogy', 'knihovní katalogy']",['studie']
Bezručovo působení na proletářskou poezii /,,,1954,"['Bezruč, Petr,', 'Biebl, Konstantin,']","['česká poezie', 'česká poezie', 'česká poezie']",['stati']
Tvůrčí proces u K. H. Máchy a P. Bezruče /,,,1954,"['Bezruč, Petr,', 'Mácha, Karel Hynek,', 'Novák, Arne,', 'Šajtar, Drahomír,']","['česká poezie', 'česká poezie', 'česká poezie', 'česká poezie']",['studie']
Komenský a Abraham Frankenberg /,,,1954,"['Komenský, Jan Amos,', 'Frankenberg, Abraham von,']","['náboženská literatura', 'náboženská literatura', 'náboženská literatura']",['stati']
Básníkova cesta za mistrovstvím : k tvorbě Josefa Kainara /,,,1954,"['Kainar, Josef,']","['česká poezie', 'česká poezie']","['analýzy', 'recenze']"
Sto let od narození Ladislava Stroupežnického /,,,1950,"['Stroupežnický, Ladislav,']",['výročí'],['medailony']
Živé dílo Otakara Hostinského : z odkazu české klasické estetiky dnešku. /,,,1957,"['Hostinský, Otakar,']","['estetika', 'estetika']",['medailony']
"Bartoš, F. M., Dvě studie o husitských postilách /",,,1955,"['Bartoš, František Michálek,', 'Čapek ze Sán, Jan,', 'Želivský, Jan,', 'Petr', 'Jakoubek,', 'Jakub z Jemnice']","['husitství', 'husitství', 'husitství', 'husitství']",['recenze']
[Kolem tisíce titulů obsahuje seznam...] /,,,1957,"['Šrámek, Vladimír,']","['české drama', 'české drama']",['poznámky']
K Husovu Provázku třípramennému /,,,1955,"['Bartoš, František Michálek,', 'Flajšhans, Václav,', 'Hus, Jan,']","['kázání', 'kázání', 'kázání']",['poznámky']
O jednom nedořešeném problému dějin české estetiky /,,,1960,"['Čapek, Josef,', 'Císařovský, Josef,', 'Volek, Jaroslav,', 'Novák, Mirko,', 'Veltruský, Jiří,']","['dějiny estetiky', 'dějiny estetiky', 'dějiny estetiky']",['studie']
Husův citát z Themistia /,,,1955,"['Hus, Jan,', 'Themistios,', 'Wycliffe, John,']","['apologetika', 'apologetika', 'apologetika', 'apologetika']",['články']
Macharův dopis o Peroutkově habilitaci /,,,1955,"['Peroutka, Emanuel,', 'Machar, Josef Svatopluk,', 'Hostinský, Otakar,']","['dopisy', 'dopisy', 'dopisy', 'dopisy']",['články']
Neznámý dopis českého humanisty Racka Doubravského : k sedmdesátinám akademika Antonína Salače /,,,1955,"['Salač, Antonín,', 'Dubravus z Doubravy, Racek,', 'Heß, Johann,', 'Luther, Martin,']","['korespondence', 'korespondence', 'korespondence', 'korespondence', 'korespondence']",['články']
Josef Král jako překladatel a badatel o české prosodii /,,,1954,"['Král, Josef,', 'Niederle, Jindřich,', 'Nebeský, Václav Bolemír,', 'Jakobson, Roman,']","['překladatelství', 'překladatelství', 'překladatelství', 'překladatelství', 'překladatelství']",['články']
Nad novým překladem Słowackého /,,,1956,"['Holan, Vladimír,', 'Voisine-Jechová, Hana,', 'Słowacki, Juliusz,']","['literární překlady', 'literární překlady', 'literární překlady']",['články']
Jungmannův překlad Ataly /,,,1956,"['Chateaubriand, François-René de,']","['literární překlady', 'literární překlady', 'literární překlady', 'literární překlady']",['studie']
Měnit či neměnit jazyk klasiků : k otázce textových úprav starších spisovatelů /,,,1956,"['Stašek, Antal,', 'Seifert, Jaroslav,', 'Vrchlický, Jaroslav,', 'Olbracht, Ivan,', 'Havel, Ivan M.,', 'Neumann, Stanislav Kostka,']",['textologie'],['články']
K otázce realismu /,,,1957,"['Šmilovský, Alois Vojtěch,', 'Němcová, Božena,', 'Hálek, Vítězslav,', 'Jirásek, Alois,', 'Kvapil, František,', 'Truhlář, Antonín,']","['estetika', 'estetika']",['polemiky']
Specifičnost odrazu a uměleckého obrazu : příspěvek k diskusi /,,,1960,"['Volek, Jaroslav,']","['forma (estetika)', 'forma (estetika)']",['studie']
Král jako kritik a polemik /,,,1954,"['Král, Josef,', 'Velišský, František,', 'Kvíčala, Jan,']","['polemiky', 'polemiky']",['články']
Pojmy znaku a významu v teorii umění /,,,1960,"['Trávníček, František,', 'Horálek, Karel,', 'Skulina, Josef,', 'Žirmunskij, Viktor Maksimovič,', 'Spirkin, Aleksandr Georgijevič,', ""Reznikov, Lazar' Osipovič,"", 'Mukařovský, Jan,']","['sémiotika', 'sémiotika', 'sémiotika', 'sémiotika', 'sémiotika']",['studie']
K jazykové výstavbě Drdovy krásné Tortizy /,,,1956,"['Drda, Jan,']","['metafora', 'metafora', 'metafora']",['studie']
V tramvaji : [Lesní brigáda baví se hlučně...] /,,,1950,[],[],['česká poezie']
"Sovětská literární věda : nad sborníkem statí, vydaným nakladatelstvím Orbis /",,,1950,"['Lenin, Vladimir Il‘jič,', 'Drozda, Miroslav,']","['ruská literatura', 'ruská literatura']",['recenze']
"Rekviem : [Ach, choré zrcadlo,] /",,,1945,"['Kratochvíl, Jaroslav,']",[],['česká poezie']
Žlutá a modrá /,,,1945,[],[],['české prózy']
Moravan Řehoř z Uherského Brodu - Původce středověké sbírky bajek Quadripartitus : věnováno Františku Ryšánkovi /,,,1954,"['Ryšánek, František,', 'Jan,', 'Petrarca, Francesco,', 'Řehoř z Uherského Brodu,', 'Flaška z Pardubic a Rychmburku, Smil,']","['bajka', 'bajka', 'bajka', 'bajka']",['články']
Vesna : [V letošním jaru je tak zvláštní klid] /,,,1945,[],[],['ruská poezie']
