,title,author,author code,year,figures,description,genre
18555,Ptám se vás : [Ptám se vás jestli se vyplatí] /,"Paleček, Miroslav,",jn20000401927,198u,,,písňové texty;česká poezie
18556,V indexu dvacet let : [Ty seš ten druh dívky] /,"Merta, Vladimír,",jk01081302,198u,,,písňové texty;česká poezie
18557,Bez pardonu /,M. F.,,1987,"Hotmar, Josef,;Skála, Ivan,;Skácel, Jan,;Šotola, Jiří,;Daněk, Oldřich,;Branald, Adolf,;Hrabal, Bohumil,;Havel, Václav,;Topol, Josef,;Pavlíček, František,;Vaculík, Ludvík,;Kundera, Milan,;Lustig, Arnošt,;Kantůrková, Eva,;Putík, Jaroslav,;Klíma, Ivan,;Škvorecký, Josef,",čeští spisovatelé;literatura a politika;literatura a ideologie;literární život;alternativní kultura;perestrojka;komunismus,úvahy
18558,Balon nad Brnem /,"Uhde, Milan,",jk01140606,1987,"Donutil, Miroslav,;Skalník, Joska,;Oslzlý, Petr,;Skácel, Jan,",divadelní festivaly a přehlídky;divadelní soubory;divadelní avantgarda;výtvarní umělci;spisovatelé,zprávy
18559,Maďarsko půl napůl /,nc,,1987,"Kundera, Milan,;Mlynář, Zdeněk,;Škvorecký, Josef,;Rajk, László,",samizdatová literatura;samizdatové časopisy;exilová literatura;překlady do maďarštiny;nezaměstnanost;perestrojka;maďarské povstání (1956),články
18560,Dokument o vězení /,"Šulcová, Olga,",jx20050518015,1987,"Gruntorád, Jiří,;Uhl, Petr,;Kantůrková, Eva,;Veverka, Otakar,;Šavrda, Jaromír,;Wolf, Jiří,;Havel, Václav,;Marečková, Lenka,;Navrátil, Augustin,;Litomiský, Jan,;Benda, Václav,",trestní politika;vězeňství;věznice;vězni;političtí vězni;samizdatová literatura;normalizace (1969-1989 : Československo),zprávy
18561,Přibili ruku mi v Ostravě... /,"Šavrda, Jaromír,",jk01122566,1987,"Bezruč, Petr,;Hradílek, Tomáš,",politická perzekuce;nezávislé občanské iniciativy,zprávy
18562,Ferenc Kósa: Zápas /,"Frídová, Eva,",av20221148369,1981,"Kósa, Ferenc",filmy;filmové postavy,recenze
18563,Vánoční zamyšlení z jiného konce /,"Štampach, Odilo Ivan,",jn19990218116,1981,"Chauchard, Paul,",Bůh a člověk;tělesnost;duch;antropogeneze;křesťanská víra;biblické texty,úvahy
18564,Ohlédnutí LN.,,,1987,,Mnichovská dohoda;národy;pravda,úvodníky
18565,"O skepsi a o tom, co můžeme /","Jírů, Jaroslav,",jn20000710120,1987,,perestrojka;politika a vláda;kultura a politika;samizdatové časopisy,úvodníky
18566,Kdo je kdo? : Znáte dobře své přátele? /,"Křížek, Leonid,",jn99240000595,1981,"Bakalář, Eduard,",společenské hry;členové institucí a organizací;empatie,zprávy
18567,Mrtvý čísník... živý novinář /,"Ruml, Jiří,",jk01103056,1987,,politická perzekuce;číšníci;vraždy;vojenské soudy;novináři;redaktoři;samizdatové časopisy;noviny,zprávy
18568,Dokument k SIE. /,,,1981,"Legipont, Oliver,;Ziegelbauer, Magnoald,;Piter, Josef Bonaventura,",benediktini;historici;opatství,výklady;úryvky
18569,Návrat /,ULA,,1987,,socialismus;služby;obchody;cestování;mládež,úvahy
18570,U hrobu TGM /,"Šulcová, Olga,",jx20050518015,1987,"Masaryk, Tomáš Garrigue,;Chramostová, Vlasta,;Hejdánek, Ladislav,;Masaryková-Pocheová, Herberta,;Masaryková, Anna,",prezidenti;výročí;hřbitovy;hroby;projevy;nezávislé občanské iniciativy,reportáže
18571,[Téhož dne v poledne se na lánském hřbitově...] /,brn,,1987,"Masaryk, Tomáš Garrigue,;Slávik, Dušan;Šimsa, Jan,;Mezník, Jaroslav,",prezidenti;filozofové;hřbitovy;hroby;výročí;projevy;humanistická etika,zprávy
18572,Společnost a Ústav TGM /,"Hejdánek, Ladislav,",jk01040550,1987,"Masaryk, Tomáš Garrigue,;Hejdánek, Ladislav,",kulturní tradice;duchovní tradice;kultura;ekumenismus,rozhovory
18573,Politické strany v Čechách na přelomu 19. a 20. století /,"Klíma, Vlastimil,",jk01060551,1982,"Hajn, Antonín,;Dyk, Viktor,;Masaryk, Tomáš Garrigue,;Šviha, Karel,;Hilsner, Leopold,;Kramář, Karel,;Šrobár, Vavro,;Hlinka, Andrej,",politické strany;politici;radikální strany;pokrokové strany;česko-slovenské vztahy;monarchistické strany;aféry;hilsneriáda (1899 : Česko),referáty
18574,28. říjen svátečně /,"Šulcová, Olga,",jx20050518015,1987,,státní svátky;vznik Československa (1918);jubilejní oslavy,články
18575,Chvála zimní krásy /,"Štampach, Odilo Ivan,",jn19990218116,1982,,sníh;krajina;smrt;bytí,eseje
18576,Společnost přátel USA /,"Šulcová, Olga,",jx20050518015,1987,"Kočandrle, Vladimír,",nezávislé občanské iniciativy;česko-americké vztahy,články
18577,Prírastky (1970-1980) : desať rokov akvizičnej činnosti /,"Křížek, Leonid,",jn99240000595,1982,,výstavy;muzea;doplňování muzejních sbírek;umělecké sbírky,recenze
18578,Tři výročí - dvojí ostuda /,-cr-,,1987,"Novotná, Jarmila,;Callas, Maria,;Jeritza, Maria,",operní zpěvačky;rozhlas;hudební výročí,komentáře
18579,Monika L. na skok v ČSSR /,V. M.,,1987,"Lederer, Elżbieta,;Lederer, Jiří,",novináři;emigranti;exil;občanství;Češi a Němci;česko-německé vztahy;perestrojka,články;rozhovory
18580,Vánoční sen o folkovém kolotoči /,,,1980,,,sborníky;písňové texty;česká poezie
18581,Úřad pro vynálezy a objevy : odpověď na dopis šéfredaktoru Dikobrazu /,,,1982,,průmyslová výroba;výrobky;estetika;užité umění,poznámky
18582,Societas v dobrém rozmaru /,"Seman, Václav,",av20201067999,1982,,společenské salony;divadelní představení;vážná hudba;pěší turistika;balet;členové institucí a organizací,zprávy
18583,Přípitek na šestém výročním salonu /,"Pavlovský, Petr,",skuk0001560,1982,"Pavlovská, Stella;Štampach, Odilo Ivan,",učené společnosti;členové institucí a organizací;ceny a vyznamenání;samizdatové časopisy;redakční práce,projevy
18584,Pod jednou střechou : Maršovice ’81 /,"Pavlovská, Stella",xx0177511,1982,,cesty a pobyt;cestování;železniční doprava;pěší turistika;běh na lyžích;sportovní výkony;pohostinství;silvestrovské zvyky;členové institucí a organizací;společenský život,zprávy;česká poezie
18585,To se mi snad zdá /,"Krátká, Zdeňka",,1982,,cesty a pobyt;cestování;běh na lyžích;silvestrovské zvyky;členové institucí a organizací;společenský život,vyprávění
18586,Maršovické povídání /,"Frídová, Eva,",av20221148369,1982,,cesty a pobyt;cestování;běh na lyžích;pohostinství;silvestrovské zvyky;členové institucí a organizací;společenský život;samizdatové časopisy;redakční práce,zprávy;projevy
18587,Silvestrovské testování /,"Štampach, Odilo Ivan,",jn19990218116,1982,,učené společnosti;členové institucí a organizací;společenský život;sebepoznání;psychologické hry;silvestrovské zvyky,zprávy;komentáře
18588,Říjen ve vědě /,I. B.,,1982,,futurologie;civilizace;světová ekonomika;ekologie;ekologická krize;člověk a příroda;průmysl,články;úryvky
18589,Jen poštolky chčí klidně na desatero /,"Heisler, Jindřich,",jk01040527,1988,,,česká poezie
18590,[Básně] /,"Lorenc, Zdeněk,",jk01072410,1988,,,česká poezie
18591,Na nezapomenutelný nápěv /,"Dvorský, Stanislav,",jk01030021,1988,,,české prózy
18592,Mé domy - mé hrady /,"Hynek, Karel,",jk01043440,1988,,,česká poezie;poezie v próze
18593,Karel Hynek /,"Effenberger, Vratislav,",jk01030310,1988,"Hynek, Karel,",čeští básníci,články
18594,[Básně] /,"Effenberger, Vratislav,",jk01030310,1988,"Bosch, Hiëronymus,;Jehuda Leva ben Becalel,;Wilde, Oscar,",,česká poezie
18595,[Básně] /,"Altschul, Rudolf,",js20101125001,1988,,,česká poezie
18596,Rudolf Altschul /,"Havlíček, Zbyněk,",jk01040359,1988,"Altschul, Rudolf,",čeští básníci;surrealismus (literatura);fašismus,články
18597,[Básně a pojednání] /,"Havlíček, Zbyněk,",jk01040359,1988,,česká poezie;imaginace;metody,česká poezie;pojednání;úryvky
18598,Mimo rekvizici mozků /,"Effenberger, Vratislav,",jk01030310,1988,"Havlíček, Zbyněk,",čeští básníci;psychologové;psychiatři;surrealismus (literatura),vzpomínky
18599,První kolo na cestě za registrací /,LN,,1988,"Ruml, Jiří,;Hejdánek, Ladislav,",samizdatové časopisy;noviny;vydávání periodik;nezávislé občanské iniciativy,zprávy
18600,Pocta prof. Machovcovi /,ex,,1988,"Machovec, Milan,",filozofové;marxismus;čestné doktoráty,zprávy
18601,Masarykova rodina /,"Šulcová, Olga,",jx20050518015,1988,"Masarykovi (rodina);Masaryk, Tomáš Garrigue,;Masaryková-Garrigue, Charlotte,;Masaryková, Anna,;Masaryková-Pocheová, Herberta,;Masaryk, Herbert,;Masaryková, Alice G.,;Masaryková, Olga,;Masaryk, Ludvík,",prezidenti;rodina;děti prezidentů;každodenní život;zvyky a obyčeje;soukromí,články;portréty;biografie;vzpomínky
18602,Sergej a vlci /,-ip-,,1988,"Prokof'jev, Sergej Sergejevič,;Mendel‘son-Prokof‘jeva, Mira Aleksandrovna,;Robinson, Harlow",hudební skladatelé;klavíristé;vážná hudba;biografie;hudba a společnost,zprávy
18603,"""Chceme být legální"" : Rozhovor LN s Karlem Srpem /","Srp, Karel,",jn20000710586,1988,"Srp, Karel,",kulturní instituce a organizace;nezávislé občanské iniciativy;hudba a společnost;kultura a politika;vydávání a distribuce knih;koncerty;politická perzekuce,rozhovory;biografické poznámky
18604,Koncert na uvítanou /,"Hanzel, Vladimír,",jn20000400880,1988,"Srp, Karel,;Chadima, Mikoláš,;Topol, Filip,;Kokolia, Vladimír,;Čert, Jim,",političtí vězni;koncerty;hudební skupiny;písničkáři;kultura a politika,zprávy
18605,Planeta Haj : [Jestli tu sedíš už dlouho] /,,,1988,,hudební skupiny;alternativní hudba;reggae,česká poezie;písňové texty;poznámky
18606,Něžný barbar : pedagogické texty /,"Hrabal, Bohumil,",jk01042564,1979,"Hrabal, Bohumil,;Boudník, Vladimír,",,vzpomínky;úryvky
18607,Vladimír že zemřel? /,"Merhaut, Vladislav,",jn19990009931,1979,"Boudník, Vladimír,",výtvarní umělci;úmrtí,vzpomínky
18608,Volky nevolky : [4 děvčátka v bílých šatech] /,"Heisler, Jindřich,",jk01040527,1988,,,česká poezie;scénáře
18609,Schovej se válko! : [První krok rozvířil listí] /,"Heisler, Jindřich,",jk01040527,1988,,,česká poezie
18610,Na jehlách těchto dní /,"Heisler, Jindřich,",jk01040527,1988,"Štyrský, Jindřich,;Toyen,",,poezie v próze;česká poezie
18611,Corpus delicti : kresby a dopisy 1956-1957 /,"Boudník, Vladimír,",jn19990216025,1979,"Boudník, Vladimír,",výtvarní umělci;láska,faksimile;kresby;dopisy;doslovy
18612,Jedna sedmina : texty z let 1951-1952 /,"Boudník, Vladimír,",jn19990216025,1979,,kulturní život;umělecká tvorba;explosionalismus,deníky;úryvky
18613,Dopisy příteli /,"Boudník, Vladimír,",jn19990216025,1979,,kulturní život;kulturní život;umělecká tvorba;explosionalismus,korespondence;úryvky
18614,Torzo libeňských dopisů /,"Boudník, Vladimír,",jn19990216025,1979,"Hrabal, Bohumil,;Rotbauer, Jaroslav,;Bouše, Zdeněk,;Reegen, Hanes,;Šmejkal, Jiří,;Kotík, Jan,;Kolář, Jiří,;Herz, Juraj,;Menzel, Jiří,",kulturní život;literární život;umělecká tvorba;akční umění;explosionalismus,korespondence;úryvky
18615,Tvrdohlaví /,"Machonin, Sergej,",jk01073028,1988,"David, Jiří,;Skála, František,;Milkov, Stefan,;Diviš, Stanislav,;Gabriel, Michal,;Nikl, Petr,;Lhotský, Zdeněk,;Róna, Jaroslav,;Suška, Čestmír,",umělci;umělecké skupiny;umělecké programy a manifesty;alternativní kultura;výstavy,zprávy
18616,"Steklíku, kdes byl? /",BEDEL,,1988,"Nepraš, Karel,;Steklík, Jan,;Meister, Karel,;Rous, Jan,",umělci;sochaři;kreslíři;fotografové;výstavy;sochy;kresby;alternativní kultura;humor,zprávy
18617,Dvojí ikonografie debaklu /,"Stankovič, Andrej,",jk01120886,1988,"Abdrašitov, Vadim Jusupovič,;Podnieks, Juris;Abuladze, Tengiz,",režiséři;filmy;dokumenty,recenze
18618,Různé proudy /,"Šimon, Josef,",jk01130103,1988,,česká literatura;samizdatová literatura;exilová literatura,projevy;citáty
