,title,author,author code,year,figures,description,genre
0,Kultura je když... /,"Kliment, Alexandr,",jk01060558,1978,,estetika,úvahy
1,Hra o život /,"Dobrovský, Luboš,",jn20000400479,1978,"Kundera, Milan,",česká próza,studie
2,Památce Bohuslava Reynka /,"Jirousová, Věra,",jn19990218035,1978,"Reynek, Bohuslav,",čeští spisovatelé,studie
3,Joyceův zkušební návrat /,"Urbánek, Zdeněk,",jk01140872,1978,"Joyce, James,",anglicky psané drama,studie
4,Čas jako trvání a jako prázdnota /,"Černý, Václav,",jk01021636,1979,,estetika,eseje
5,Archeologie času /,"Vašíček, Zdeněk,",jk01141688,1979,,estetika,eseje
6,Z krajiny progresívní nepohody /,"Brabec, Jiří,",jk01012890,1979,"Juliš, Emil,",čeští spisovatelé,studie
7,Poznámky k T. G. Masarykovi a národnímu obrození /,"Doležal, Bohumil,",jk01022603,1979,"Masaryk, Tomáš Garrigue,",národní obrození;čeští spisovatelé,studie
8,Za Vítězslavem Gardavským /,"Šimsa, Jan,",jn20000402827,1979,"Gardavský, Vítězslav,",čeští spisovatelé,nekrology
9,Kantůrkové Sen o zlu /,"Žalich, Jan",,1979,"Kantůrková, Eva,",česká próza,recenze
10,Andrej Stankovič debutoval [...].,,,1979,"Stankovič, Andrej,",čeští spisovatelé,bio-bibliografické poznámky
11,Rozhovor Magora s Brikciusem v hospodě u Lojzy /,"Jirous, Ivan Martin,",jn19981001568,1979,"Brikcius, Eugen,",happening (umění);čeští spisovatelé,biografické poznámky;rozhovory
12,Ad E. K. /,J. G.,,1979,"Kantůrková, Eva,",česká próza,poznámky
13,Esej o generaci /,"Kroutvor, Josef,",jn99240000542,1979,"Kroutvor, Josef,",estetika,eseje
14,Rady pro kočku /,"Jungmann, Milan,",jk01052189,1989,"Čejka, Jaroslav,;Hájek, Jiří,",kulturní politika,polemiky
15,Goodbye samizdat /,"Havel, Václav,",jk01040240,1989,,samizdatové časopisy;samizdat;literární časopisy;samizdatové časopisy,články
16,Za Janem Skácelem /,-hzk,,1989,"Skácel, Jan,",osobnosti;čeští básníci,nekrology
17,Exorcista /,"Lukeš, Jan,",jk01072622,1989,"Švejda, Jiří,",česká próza;osobnosti,recenze
18,Poslední slovo /,"Vaculík, Ludvík,",jk01141068,1989,"Vaculík, Ludvík,",osobnosti;Sametová revoluce (1989 : Československo),fejetony
19,"""Je třeba vylézat z děr"" : Rozhovor Lidových novin s estonským spisovatelem Arvo Valtonem /","Valton, Arvo,",jo2002105711,1988,"Valton, Arvo,",estonská literatura;estonští spisovatelé;estonská próza;alternativní kultura;osobnosti,rozhovory
20,Seifertova cena Vaculíkovi /,red.,,1988,"Vaculík, Ludvík,;Čapek, Karel,;Neruda, Jan,",literární ceny;čeští spisovatelé;fejeton;samizdatová literatura;osobnosti,zprávy
21,Anketa LN.,,,1988,"Roth, Joseph,;Tournier, Michel,;Pavlíček, František,;Filla, Emil,;Jankovič, Jozef,;Mucha, Jiří,",česká literatura;literatura;výstavy;filmy;divadelní představení;operní inscenace,ankety
22,Brněnská premiera /,"Trefulka, Jan,",jk01140076,1988,"Tachovský, Karel,",divadelní inscenace;české drama;osobnosti,referáty
23,Anketa LN.,,,1988,"Johnson, Paul,;Hrabal, Bohumil,;Havel, Václav,;Feynman, Richard Phillips,;Chytilová, Věra,;Jůza, Michal,;Váša, Petr,;Dubský, Ivan,;Formánková, Eva,;Cais, Milan,",historiografie;česká literatura;divadelní představení;filmy;koncerty;samizdatové časopisy;esej,ankety
24,Můra /,"Stiborová, Věra,",jk01121181,1988,"Stiborová, Věra,",české spisovatelky;česká próza;osobnosti,české prózy;bio-bibliografické poznámky
25,Cesty bývají různé.,,,1988,"Pilař, Jan,;Fikar, Marek;Fikar, Ladislav,",nakladatelství a vydavatelství;ředitelé nakladatelství,paměti;dopisy
26,Krevní msta /,"Jungmann, Milan,",jk01052189,1988,"Čejka, Jaroslav,",česká literatura;čeští spisovatelé;kulturní politika;kultura a politika;literatura a politika;propaganda;osobnosti;perestrojka,polemiky
27,Sovětský týdeník o Václavu Havlovi. /,red.,,1988,"Havel, Václav,;Machonin, Sergej,;Kupriyanov, Alexander Ivanovič",česko-ruské vztahy;disidenti;novináři;perestrojka;osobnosti,komentáře
28,"Dominik Tatarka - jméno, které zní... /",p.,,1988,"Tatarka, Dominik,",slovenští spisovatelé;slovenská literatura;osobnosti,medailony
29,Erich Kulka versus Melantrich /,"Danisz, Josef,",av20221143774,1988,"Kulka, Erich,;Šebesta, Josef;Vlašín, Štěpán,;Kramár, Marián",nacistická perzekuce;antisemitismus;sionismus;občanskoprávní vztahy;nakladatelství a vydavatelství;redaktorky;pomluva,komentáře
30,Drzé čelo lepší než poplužní dvůr /,"Jungmann, Milan,",jk01052189,1988,"Čejka, Jaroslav,;Kundera, Milan,",interpretace a přijetí literárního díla;česká literatura;normalizace (1969-1989 : Československo);osobnosti,polemiky
31,Zapomenutý historik /,J. S.,,1988,"Werstadt, Jaroslav,;Masaryk, Tomáš Garrigue,",historici;osobnosti,medailony
32,Cena Edice Petlice.,,,1988,"Opat, Jaroslav,;Masaryk, Tomáš Garrigue,",historici;literární ceny;osobnosti,zprávy
33,Kde je moje hra? /,"Mlynář, Vladimír,",jn20000620233,1988,"Gardner, Herb,;Havlů, Ivo T.,;Štěpánek, František,",anglicky psané drama;divadelní inscenace;komunismus;osobnosti,referáty
34,Jubilejní sborník Bloku /,"Trefulka, Jan,",jk01140076,1988,"Skácel, Jan,",čeští básníci;česká poezie;osobnosti,recenze
35,Anketa LN.,,,1988,"Serke, Jürgen,;Chytilová, Věra,;Polívka, Boleslav,;Bittová, Iva,;Salinger, J. D.;Tatarka, Dominik,;Vysockij, Vladimir,",česká literatura;divadelní představení;filmy;koncerty;televizní seriály,ankety
36,Anketa LN.,,,1988,"Arnetová, Helena,;Cudlín, Karel,;Dědeček, Jiří,;Hrabal, Bohumil,;Sozanský, Jiří,;Macháček, Miroslav,;Horká, Eva,;Honegger, Arthur,",česká literatura;hudební nahrávky;písňové texty;výstavy fotografií;obrazy;divadelní představení;dokumentární filmy,ankety
37,Kmen po patnácti číslech /,"Lukeš, Jan,",jk01072622,1988,"Unzeitig, Tomáš",pseudonymy;literární časopisy,recenze
38,Hlášení Jiřího Muchy /,"Lukeš, Jan,",jk01072622,1988,"Mucha, Jiří,;Škvorecký, Josef,;Vladislav, Jan,;Kaprálová, Vítězslava,",exil;samizdat;česká próza;osobnosti,recenze
39,To místo /,"Kantůrková, Eva,",jk01052883,1988,"Kantůrková, Eva,",české spisovatelky;samizdatová literatura;česká próza,české prózy;úryvky;bio-bibliografické poznámky
40,Poslední slovo? /,"Vaculík, Ludvík,",jk01141068,1988,"Vaculík, Ludvík,",česká literatura;Pražské jaro (1968 : Československo),fejetony
41,O Literárních novinách s Milanem Jungmannem /,"Jungmann, Milan,",jk01052189,1988,,literární časopisy,rozhovory
42,Mezi kontejnery /,"Hanák, Jiří,",jk01033352,1988,"Sýs, Karel,",exil;literární časopisy,fejetony
43,Osud průkopníků... /,"Lukeš, Jan,",jk01072622,1988,"Žáček, Jiří,;Sýs, Karel,;Peterka, Josef,;Skarlant, Petr,;Černík, Michal,;Šimon, Josef,;Prouza, Petr,;Pelc, Jaromír,",česká poezie,studie
44,V Lisabonu o kultuře : Psáno pro Lidové noviny /,"Škvorecký, Josef,",jk01130413,1988,"Hrabal, Bohumil,",literárněvědné konference;portugalská literatura;ruská literatura,referáty
45,Anketa LN.,,,1988,"Černý, Jiří,;Procházková, Lenka,;Šrut, Pavel,;Pavlíček, František,",česká literatura,ankety
46,Veselý textař z ÚV /,"Samek, Martin",,1988,"Melen, Josef,;Černý, Jiří,;Kapek, Miroslav,",pseudonymy;písňové texty;osobnosti,poznámky
47,Další kopa grošů /,-sl-,,1988,"Kapek, Miroslav,",pseudonymy;česká próza;osobnosti,poznámky
48,Na paměť Bedřicha Fučíka /,red.,,1988,"Fučík, Bedřich,",literární ceny;česká literatura,prohlášení
49,Případ Hrabal /,"Lukeš, Jan,",jk01072622,1988,"Hrabal, Bohumil,;Hvížďala, Karel,",osobnosti,studie
50,Závory /,"Pecka, Karel,",jk01092240,1988,"Pecka, Karel,",čeští spisovatelé;političtí vězni;česká próza;osobnosti,české prózy;bio-bibliografické poznámky
51,"Moskva, jak jsme ji neznali /",-sl-,,1988,"Fojtíková, Eva,;Aškenazy, Ludvík,;Vaculík, Ludvík,",novináři;dogmatismus;socialismus;česká literatura;ruská literatura;osobnosti,zprávy
52,Ožívající Litva /,"Grybauskas, Almis,",jo2006333874,1988,"Grybauskas, Almis,",litevská literatura;litevští spisovatelé;překlady do litevštiny;překlady z češtiny;malé národy;osobnosti;exil;kulturní vztahy;perestrojka;česko-litevské vztahy,rozhovory
53,"Kam jsme došli, kdo to ví...? /","Lukeš, Jan,",jk01072622,1988,"Hájek, Jiří,;Nejedlá, Jaromíra,;Blahynka, Milan,",česká literatura;literární kritici;literární kritika;televizní pořady,články
54,Angelika reálného socialismu /,-os-,,1988,"Frýbová, Zdena,",české spisovatelky;česká próza;osobnosti,recenze
55,Anketa LN.,,,1988,"Glass, Philip,;Medek, Mikuláš,;Messiaen, Olivier,;Krall, Hanna,;Waits, Tom,;Šimečka, Martin M.;Havel, Václav,",alternativní kultura;česká literatura;koncerty;výstavy;filmy,ankety
56,Omluva Solženicynovi /,"Jungmann, Milan,",jk01052189,1988,"Solženicyn, Aleksandr Isajevič,;Hájek, Jiří,;Havel, Václav,;Kundera, Milan,",socialismus;demokratizace;perestrojka;občanská angažovanost;česká literatura;ruská literatura;osobnosti,články
57,Melodie fantazií a reality.,,,1988,"Dobiáš, Jan,",hudební časopisy,články
58,Strop /,"Řezníček, Pavel,",jk01110127,1988,"Řezníček, Pavel,",čeští spisovatelé;surrealismus (literatura);překlady do francouzštiny;česká próza;osobnosti,české prózy;předmluvy;úryvky;bio-bibliografické poznámky
59,Výbor na obranu Ivana Jirouse.,,,1988,"Jirous, Ivan Martin,;Brabec, Jan,;Havel, Václav,;Hejda, Zbyněk,;Lamper, Ivan,;Němcová, Dana,;Němec, David,;Palouš, Martin,;Ruml, Jan,;Skalník, Joska,;Placák, Petr,;Šustrová, Petruška,;Topol, Jáchym,;Vondra, Alexandr,",osobnosti;čeští básníci;politická perzekuce;petice,dokumenty
60,Kdo je indiferentní /,"Lukeš, Jan,",jk01072622,1988,"Černík, Michal,",čeští spisovatelé;česká literatura;literární život;exilová literatura;osobnosti,polemiky
61,Ještě jednou případ Hrabal /,"Šamalík, František,",jk01122456,1988,"Hrabal, Bohumil,;Lukeš, Jan,",čeští spisovatelé;normalizace (1969-1989 : Československo);osobnosti,polemiky
62,Skácelova devátá /,"Trefulka, Jan,",jk01140076,1988,"Skácel, Jan,",čeští básníci;literatura a morálka;česká poezie;osobnosti,recenze
63,Co jsi mi to udělal /,"Plíšková, Naděžda,",jn99240000882,1988,"Plíšková, Naděžda,",české básnířky;nezávislá literatura;samizdatová literatura;česká poezie;osobnosti,česká poezie;bio-bibliografické poznámky
64,"""Doma jsem byl normální člověk."" : Jaroslav Hutka po deseti letech /","Hutka, Jaroslav,",jk01043349,1988,"Hutka, Jaroslav,",osobnosti;politická emigrace;emigranti;exilový tisk;exilový kulturní život;samizdatové časopisy;hudební nakladatelství a vydavatelství;koncerty;písničkáři;český fejeton,rozhovory;poznámky
65,Vůlí osudu intelektuálové /,"Lukeš, Jan,",jk01072622,1988,"Steklač, Vojtěch,;Švejda, Jiří,",česká próza,studie
66,Topol na jevišti - po dvaceti letech /,"Machonin, Sergej,",jk01073028,1989,"Topol, Josef,",české drama;osobnosti,referáty
67,Palachova cena /,-r-,,1989,"Kantůrková, Eva,",literární ceny;osobnosti,zprávy
68,O intoleranci : Rozjímání v čase vánočním a novoročním /,"Lukeš, Jan,",jk01072622,1989,,česká literatura;literární kritika,úvahy
69,Sveďte to na stranu! /,"Jungmann, Milan,",jk01052189,1989,,literárněvědné konference;česká literatura,glosy
70,Kde je budoucnost /,"Miller, Arthur,",jn19990005721,1989,"Havel, Václav,",osobnosti,dokumenty
71,Revue 88 před prokurátorem /,"Proboštová, Drahuše,",av20201093694,1989,,literární časopisy;česká literatura,referáty
72,...táta koupil botičky /,"Lukeš, Jan,",jk01072622,1989,"Bauman, Václav;Basiková, Bára,;Pelc, Jan,",homosexualita;lesbismus;česká próza,recenze
73,"Pavel Tigrid, Průvodce inteligentní ženy po vlastním osudu /","Šiklová, Jiřina,",jk01122892,1989,"Tigrid, Pavel,",česká próza;osobnosti,recenze
74,Zrcadlo jedné edice /,"Lukeš, Jan,",jk01072622,1989,"Pelc, Jaromír,;Novotný, Vladimír,;Lukeš, Jan,;Prokopová, Alena,;Carroll, Lewis,",nakladatelství a vydavatelství;ediční plány;česká próza;literární kritika,recenze
75,Autor prózy Jiří Daníček se narodil 22.10.1948 v Liberci /,"Lopatka, Jan,",jk01072390,1989,"Daníček, Jiří,",česká próza;osobnosti,bio-bibliografické poznámky
76,Rozhovor s Václavem Havlem /,"Havel, Václav,",jk01040240,1989,"Havel, Václav,",političtí vězni;osobnosti,rozhovory
77,Pars pro toto /,"Lukeš, Jan,",jk01072622,1989,"Němec, Ludvík,;Frýbort, Pavel,",česká próza,recenze
78,Po plenárce SČS /,"Jungmann, Milan,",jk01052189,1989,"Černík, Michal,",spisovatelské a literárněvědné organizace;česká literatura,referáty
79,Těsně před uzávěrkou tohoto čísla... /,"Jungmann, Milan,",jk01052189,1989,"Tatarka, Dominik,",slovenská literatura;osobnosti,nekrology
80,Páral po dvaceti letech /,"Lukeš, Jan,",jk01072622,1989,"Páral, Vladimír,",osobnosti,studie
81,V zajetí slovních fetišů /,"Jungmann, Milan,",jk01052189,1989,,spisovatelské a literárněvědné organizace;česká literatura,referáty
82,Poučení z historie /,"Pavlíček, František,",jk01092088,1989,,česká literatura,komentáře
83,Co s neblahým dědictvím /,"Jungmann, Milan,",jk01052189,1989,"Prouza, Petr,;Neff, Ondřej,",exil;spisovatelské a literárněvědné organizace;česká literatura,komentáře
84,Stanovisko předsednictva.,,,1989,"Havel, Václav,;Válek, Miroslav,",spisovatelské a literárněvědné organizace;osobnosti,dokumenty
85,"""Hvězdy"" Jiřího Černého /","Hanzel, Vladimír,",jn20000400880,1989,"Černý, Jiří,",česká próza;osobnosti,recenze
86,Řádky o Průkazu totožnosti : Objevování Brna /,"Uhde, Milan,",jk01140606,1989,"Šafařík, Josef,",osobnosti,referáty
87,Pavel Juráček /,"Váša, A.",,1989,"Juráček, Pavel,",osobnosti,nekrology
88,"""Jedna zbabělost nutně plodí další."" /","Havel, Václav,",jk01040240,1989,"Havel, Václav,;Steigerwald, Karel,",osobnosti,rozhovory
89,Jak se neroztíná gordický uzel /,"Jungmann, Milan,",jk01052189,1989,"Peterka, Josef,;Hájek, Jiří,;Pilař, Jan,",literární kritici;literární kritika;česká literatura,polemiky
90,Hodina mezi psem a vlkem /,"Fořt, Milan,",uzp2014842229,1989,"Fischerová, Daniela,",české drama;osobnosti,referáty
91,Harold Pinter na skok v Praze a okolí /,"Pinter, Harold,",jn19990006574,1989,"Pinter, Harold,",anglicky psané drama;osobnosti,rozhovory
92,Slabikář poučený poezií /,"Jungmann, Milan,",jk01052189,1989,"Gruša, Jiří,",česká próza;osobnosti,recenze
93,Odkaz šifry VBF /,"Pecka, Karel,",jk01092241,1989,"Fučík, Bedřich,",osobnosti,medailony
94,Oživlý hrob charakteru /,"Černý, Jiří,",jk01021569,1989,"Žantovský, Petr,;Baez, Joan,",osobnosti,polemiky
95,Zabitá jen neděle /,"Lukeš, Jan,",jk01072622,1989,"Křenek, Jiří,",česká próza;osobnosti,recenze
96,Básník v roli kabinetního politika /,"Jungmann, Milan,",jk01052189,1989,"Čejka, Jaroslav,",spisovatelské a literárněvědné organizace;česká literatura,komentáře
97,O věcech veřejných a věcech divadelních : Povídání s Jiřím Suchým /,"Suchý, Jiří,",jk01121734,1989,"Suchý, Jiří,",osobnosti,rozhovory
98,Tvář naděje - i české prózy? /,"Lukeš, Jan,",jk01072622,1989,"Němcová, Božena,;Chytilová, Věra,",česká próza;osobnosti,recenze
99,"""Vzal rozum do hrsti a vyšel z toho..."" /","Lukeš, Jan,",jk01072622,1989,"Fuks, Ladislav,",česká próza;osobnosti,studie
100,Cestou necestou k dialogu /,"Jungmann, Milan,",jk01052189,1989,"Prouza, Petr,;Brousek, Antonín,",exil;česká literatura,komentáře
101,Sdružení německých knihkupců udělilo... /,VIA,,1989,"Havel, Václav,",literární ceny;osobnosti,zprávy
102,Mezi včerejškem a zítřkem /,"Lukeš, Jan,",jk01072622,1989,"Prouza, Petr,",osobnosti,recenze
103,Most atd /,"Jungmann, Milan,",jk01052189,1989,,literární časopisy a sborníky,recenze
104,Jablko by málem nepropadlo /,"Machonin, Sergej,",jk01073028,1989,"Uhde, Milan,",české drama;osobnosti,referáty
105,"Dějiny, básník a mýtus : Karlu Šiktancovi k 50. narozeninám /","Brabec, Jiří,",jk01012890,1981,"Šiktanc, Karel,",osobnosti,studie
106,Karel IV. v českých dějinách duchových /,"Kalista, Zdeněk,",jk01052690,1981,Karel,osobnosti,studie
107,Filozof a Mistr /,"Uhde, Milan,",jk01140606,1981,"Hus, Jan,",osobnosti,eseje
108,Havlíčkova polemika s radikály a TGM /,(t.),,1981,"Havlíček Borovský, Karel,;Masaryk, Tomáš Garrigue,",osobnosti,studie
109,2x2 studie o Masarykovi /,"Němec, Jiří,",jk01083071,1981,"Černý, Václav,;Masaryk, Tomáš Garrigue,;Patočka, Jan,",osobnosti,recenze
110,"Na okraj ""Osmašedesátého"" /","Vohryzek, Josef,",jk01150307,1981,"Pithart, Petr,",osobnosti,recenze
111,O kulturní odkaz střední Evropy /,"Kundera, Milan,",jk01070894,1981,"Hašek, Jaroslav,;Kafka, Franz,",osobnosti,eseje
112,Stanislav Mareš [...].,,,1981,"Mareš, Stanislav,",osobnosti,biografické poznámky
113,Slavnost - hra - subjektivita /,"Neubauer, Zdeněk,",jn19981228103,1981,"Klíma, Ladislav,",osobnosti,studie
114,"Ptají se, já se kroutím, jak můžu, ale nakonec stejně vypovídám /","Lopatka, Jan,",jk01072390,1981,"Lopatka, Jan,;Bondy, Egon,",osobnosti;samizdat,rozhovory
115,Esej o životě v ghettu /,"Kroutvor, Josef,",jn99240000542,1981,,osobnosti,eseje
116,Estetika odporného /,"Kautman, František,",jk01053268,1983,"Kafka, Franz,",literární teorie;pražská německá literatura;estetika,eseje
117,Bloudění labyrintem /,"Kautman, František,",jk01053268,1983,"Kafka, Franz,",literární teorie;pražská německá literatura,eseje
118,"Plastic People of 1984 : Milan ""Mejla"" Hlavsa u výslechu.",,,1984,,undergroundová kultura;hudba,rozhovory
119,4 vybrané texty z LP Hovězí porážka - PPU.,,,1984,,undergroundová kultura;hudba;písňové texty,poezie
120,Hovězí porážka /,"Havel, Václav,",jk01040240,1984,,undergroundová kultura;hudba,úvodníky
121,Jak se mi filosofovalo /,"Bondy, Egon,",jk01012610,1984,"Bondy, Egon,",filozofie,eseje;úryvky
122,Bondyáda. /,"Machovec, Martin,",ola2002105173,1984,"Bondy, Egon,",,bibliografie
123,"Špatná věc : [Je strašnej čas, je strašnej den] /","Bondy, Egon,",jk01012610,1984,,undergroundová kultura;písně;zhudebněná poezie,česká poezie
124,Dalí žije : 11. května 1984 - 80 let Salvadora Dalího /,"Drožď, Lubomír,",js20020722017,1984,"Dalí, Salvador,",surrealismus (umění);undergroundová kultura,články
125,1984 ran-popálenin Krista /,"Krásný, Jan Patrik,",mzk2003170710,1984,,undergroundová kultura;ekologie,eseje
126,Credo - Erich Fromm /,"Fromm, Erich,",jn19990002463,1984,"Fromm, Erich,",psychologie;psychoanalýza,eseje
127,Praha hlavní město míru : Jak mlčely všechny zvony Prahy /,"Drožď, Lubomír,",js20020722017,1984,"Orwell, George,",konference;ozbrojené konflikty;mezinárodní vztahy;umění,reportáže
128,Co může člověk dělat v roce George Orwella? /,"Drožď, Lubomír,",js20020722017,1984,"Bondy, Egon,;Orwell, George,",undergroundová kultura,glosy;rozhovory
129,"Co vlastně může mladý člověk v dnešní situaci, tak jak ji známe, nebo se domníváme znát, co tady a teď může dělat? /","Bondy, Egon,",jk01012610,1984,,undergroundová kultura;filozofie;samizdat,eseje;rozhovory
130,"Tadeáš ""Vinnetou"" L. /","Drožď, Lubomír,",js20020722017,1984,"Libánský, Tadeáš",poezie;hudba;undergroundová kultura,medailony;česká poezie
131,Brechdurchfall /,"Drožď, Lubomír,",js20020722017,1985,"Mácha, Karel Hynek,",próza;výročí;romantismus,eseje
132,"Jsem rád, že jste na Máchu nezapomněli /","Bondy, Egon,",jk01012610,1985,"Mácha, Karel Hynek,",česká poezie;romantismus,ankety
133,Pět Bondyho starších věcí /,"Bondy, Egon,",jk01012610,1985,,undergroundová kultura,česká poezie
134,"Máchystán : krajem Karla Hynka Máchy r. 1985, nebo také Brechdurchfall /","Drožď, Lubomír,",js20020722017,1985,"Mácha, Karel Hynek,",romantismus;deníky;ekologie,reportáže;prózy
135,4. 5. 77 : [Nad krajem výbuchy nadzvukových letadel] /,"Bondy, Egon,",jk01012610,1985,,,poezie
136,Horror vacui /,"Drožď, Lubomír,",js20020722017,1985,"Drožď, Lubomír,;Gosmanová, Irena",surrealismus (umění);koláže;poezie,anotace
137,Ekofilosofie /,"Skolimowski, Henryk,",jn20020723089,1985,,ekologie;filozofie,články
138,Koyaanisqatsi /,"Schonborn, Jerzy",,1985,"Reggio, Godfrey,",sociologie;film;ekologie,recenze
139,Smrt je rádce /,"Castaneda, Carlos,",jn19990001364,1985,,antropologie;filozofie,eseje
140,Výzva k transcendenci /,"Havel, Václav,",jk01040240,1985,,filozofie,eseje
141,Smích zenu - zen smíchu /,"Marek, Vlastimil,",jn99240000675,1985,"Watts, Alan,",zen-buddhismus;taoismus;filozofie,eseje
142,Tři hlavolamy zenovému vyslanci v Praze /,"Marek, Vlastimil,",jn99240000675,1985,,zen-buddhismus;filozofie,eseje;rozhovory
143,"Ironie, tolerance, dialog /","Drožď, Lubomír,",js20020722017,1985,"Bondy, Egon,",etika;filozofie,eseje
144,Sado-Maso se ptá Egona Bondyho : estetika surrealismu /,"Bondy, Egon,",jk01012610,1985,"Teige, Karel,;Holan, Vladimír,;Dalí, Salvador,;Effenberger, Vratislav,",surrealismus (literatura);undergroundová kultura;romantismus;expresionismus (umění),eseje;poezie;rozhovory
145,Zen na divoko /,"Marek, Vlastimil,",jn99240000675,1985,,filozofie;zen-buddhismus;duchovní probuzení,eseje
146,Z domácího vězení /,"Havel, Václav,",jk01040240,1985,,undergroundová kultura;vyšetřovatelé;psychologie;totalitní režimy;komunismus,eseje
147,Život jde dál /,,,1985,,surrealismus (umění);absurdita,fotografie
148,Anketa Sado-Maso čtenářů : měřítko vkusu a oblíbenosti 1985.,,,1985,,film;hudba;undergroundová kultura;punk (hudba),seznamy
149,Zasláno redakci : zasláno z redakce ven /,"Drožď, Lubomír,",js20020722017,1986,,,články
150,Krize identity /,"Havel, Václav,",jk01040240,1986,,filozofie,eseje
151,The Death of Merry Ghetto : Melody of Slowly Dying /,"Hoskyns, Barney,",xx0140935,1986,,undergroundová kultura;hudba,články
152,Vstříc slunnejm dnům : aneb Melodie pomalého umírání v Praze /,"Drožď, Lubomír,",js20020722017,1986,,undergroundová kultura;hudba;punk (hudba),reportáže
153,Krásné nové stroje /,"Diviš, Stanislav,",jn20000400463,1986,,hudba;undergroundová kultura,rozhovory
154,Malá chvilka poezie /,"Bondy, Egon,",jk01012610,1986,,,poezie
155,"Nejsem občan, jsem bůh! : popis jednoho zápasu /","Veselý, Pavel,",xx0212548,1986,"Venera, Vincent,",próza;absurdita,prózy
156,Železná vláda versus Plastic People 1976 = The Plastic People versus The Iron Government /,"Drožď, Lubomír,",js20020722017,1986,"Hlavsa, Milan,;Brabenec, Vratislav,",undergroundová kultura;policejní výslech;hudba,reportáže
157,Zaplaťpánbů za „underground“ : Sado-Maso se ptá Egona Bondyho /,"Bondy, Egon,",jk01012610,1986,,undergroundová kultura;výročí,eseje
158,Buď vůle hrát pro sebe! /,,,1986,,undergroundová kultura;hudba,rozhovory
159,Mí Pražané mi rozumí : Nico v Praze /,"Drožď, Lubomír,",js20020722017,1986,,alternativní hudba,reportáže
160,A sakra! : ze seriálu příběhů V. V. /,"Mazal, Tomáš,",jo2004192794,1986,"Venera, Vincent,",,prózy
161,Únos západu = Tragédie střední Evropy /,"Kundera, Milan,",jk01070894,1986,,politika,eseje
162,V kleci biotu /,"Bondy, Egon,",jk01012610,1986,,,eseje
163,New painting v Čechách.,,,1986,,malířství,články
164,Divná malba - divné obrazy /,"Diviš, Stanislav,",jn20000400463,1986,,malířství;alternativní kultura,rozhovory;eseje
165,Poslední zprávy z fronty /,"Drožď, Lubomír,",js20020722017,1986,,undergroundová kultura,zprávy
166,Dopis z vězení /,"Havel, Václav,",jk01040240,1982,,filozofie;věznice,eseje
167,Z domova hlásí agentura Stress Press.,,,1979,"Vávra, Otakar,",film;undergroundová kultura,zprávy
168,O pocitu absurdity /,"Havel, Václav,",jk01040240,1982,,filozofie;absurdita,eseje
169,Trpaslíci s kamerou /,"Gaar, Vladimír",,1982,,film;festivaly;undergroundová kultura,reportáže
170,Příběh Milana Knížáka /,"Chalupecký, Jindřich,",jk01050063,1981,,umění;hudba,eseje
171,Stáhněte roletu! /,"Drožď, Lubomír,",js20020722017,1981,,film;undergroundová kultura,anotace;rozhovory
172,Tour de café : Prague 83. /,"Drožď, Lubomír,",js20020722017,1983,"Kafka, Franz,;Seifert, Jaroslav,;Hašek, Jaroslav,;Bakunin, Michail Aleksandrovič,",kavárny;socialismus;normalizace (1969-1989 : Československo),reportáže
173,Filmová anketa 1983-1984 /,"Drožď, Lubomír,",js20020722017,1983,"Gaar, Vladimír,;Venera, Vincent,;Sax, Pablo de,;Krásný, Jan Patrik,;Mazal, Tomáš,;Gosmanová, Irena",film;undergroundová kultura,ankety
174,Nekropolis : hledání karnevalu v Praze /,"Drožď, Lubomír,",js20020722017,1984,"Andropov, Jurij Vladimirovič,;Mácha, Karel Hynek,",výročí;absurdita;normalizace (1969-1989 : Československo),reportáže
175,Day After = Den poté /,"Drožď, Lubomír,",js20020722017,1984,"Meyer, Nicolas,",buddhismus;filozofie;meditace,eseje
176,Disko-pásko grafie Plastic People /,"Drožď, Lubomír,",js20020722017,1984,,hudba;undergroundová kultura,přehledy
177,Tour de café : Prague 83 /,"Drožď, Lubomír,",js20020722017,1984,"Jirásek, Alois,;Kafka, Franz,",kavárny;literární místopis;normalizace (1969-1989 : Československo),reportáže
178,"Ironie, tolerance, dialog /","Drožď, Lubomír,",js20020722017,1985,"Bondy, Egon,",filozofie;etika,eseje
179,Setkání pana K. se Švejkem.,,,1982,"Kafka, Franz,;Hašek, Jaroslav,;Švejk, Josef;Josef K.",literární postavy,romány
180,"Plastic People ""v Japonsku"" jinak nic nového /","Drožď, Lubomír,",js20020722017,1982,"Janíček, Josef,",hudba;undergroundová kultura,sloupky
181,Arcimboldo.,,,1981,"Arcimboldo, Giuseppe,",,romány
182,Pár básniček z r. 76.77.78 /,"Drožď, Lubomír,",js20020722017,1981,,,česká poezie
183,Šílenství a fotografie /,"Rezek, Petr,",skuk0001161,1981,,happening (umění);akční umění,eseje
184,Národ sobě /,"Drožď, Lubomír,",js20020722017,1981,,normalizace (1969-1989 : Československo);kultura,články
185,P.P.U. /,"Wilson, Paul R.",jn20030219003,1981,,undergroundová kultura;hudba,články
186,Plastic Pepa of Universe /,"Janíček, Josef,",xx0084076,1981,,undergroundová kultura;hudba,rozhovory
187,Charlieho groteskní svět /,"Benetková, Marie,",xx0218907,1981,"Soukup, Karel,;Chaplin, Charlie,",undergroundová kultura,vzpomínky
