,title,author,author code,year,figures,description,genre
5583,Na okraj dvou legend z třináctého století : Vidění dánského krále Erika ve svatováclavských legendách /,"Jensen-Rádlová, Marie,",jk01100522,1984,,starší česká literatura,studie
5584,Literární scéna v Československu : Leden 1983 - duben 1984 /,"Kratochvil, Antonín,",jk01062954,1984,,česká literatura;rumunská literatura,studie
5585,Rozpaky nad Třebízským /,"Měšťan, Antonín,",jk01081347,1984,"Beneš Třebízský, Václav,",osobnosti,medailony
5586,Jan Čep /,"Dresler, Jaroslav,",jk01023057,1984,"Čep, Jan,",osobnosti,medailony
5587,František Doucha : K stému výročí smrti /,"Neuwirth, Vladimír,",jn19990201040,1984,"Doucha, František,;Babler, Otto František,",osobnosti,medailony
5588,Když odchází básník /,"Křížková, Marie Rút,",jk01070205,1984,"Dvořák, Ladislav,;Kraus, Karel,",osobnosti,nekrology
5589,Slavnost - hra - subjektivita : Pocta Ladislavu Klímovi (22.8.1878 - 19.4.1928) /,"Neubauer, Zdeněk,",jn19981228103,1984,"Klíma, Ladislav,",osobnosti,studie
5590,Nad Koláčkovou knihou o sestře Faustině /,"Vrána, Karel,",jn19981002366,1984,"Koláček, Josef,",,recenze
5591,Nad tvorbou Ivy Kotrlé /,"Pavlová, Zuzana",,1984,"Kotrlá, Iva,",osobnosti,studie
5592,Oslovení : K šedesátinám dr. Antonína Kratochvila /,"Mácha, Karel,",jk01072913,1984,"Kratochvil, Antonín,",osobnosti,medailony
5593,"Smrt krásných ryb : Ota Pavel, 2.7.1930 - 31.3.1973 /","Svobodová, Hana,",jn99240001156,1984,"Pavel, Ota,",osobnosti,recenze
5594,Nesplacený dluh Václavu Renčovi /,"Hejl, Vilém,",jk01040563,1984,"Renč, Václav,",osobnosti,poznámky
5595,Jaroslavu Seifertovi udělena Nobelova cena : Dokument Charty 77 č.17/84.,,,1984,"Seifert, Jaroslav,",osobnosti,dokumenty
5596,Quinquaginta annos iam habes : Redaktor Studií Karel Skalický padesátník /,"Vrána, Karel,",jn19981002366,1984,"Skalický, Karel,",osobnosti,medailony
5597,Vidění člověka : Pokus o vysledování vývoje jednoho literárního typu /,"Rotrekl, Zdeněk,",jk01102796,1984,"Trefulka, Jan,",osobnosti,studie
5598,Arizona : Obrázky z cest /,"Kotrlá, Iva,",jn19990209396,1984,"Vaculík, Ludvík,",osobnosti,eseje
5599,Sympozium o Johannesu Urzidilovi /,"Vašíček, Petr",,1984,"Urzidil, Johannes,",literární druhy;maďarská literatura,referáty
5600,Za Ottou Ziererem /,"Kratochvil, Antonín,",jk01062954,1984,"Zierer, Otto,",maďarská literatura,nekrology
5601,Mezi Dunajem a Tatrami : Slováci a Němci /,"Měšťan, Antonín,",jk01081347,1984,,maďarská literatura;rumunská literatura,studie
5602,"Václav Havel, O lidskou identitu /","Kolář, Petr,",jn20000401399,1985,"Havel, Václav,",literatura,recenze
5603,Kořeny kultury evropského člověka /,"Lobkowicz, Mikuláš,",jo20000069717,1985,,literatura,eseje
5604,"Dějina, dějiny, dějinnost /","Kantůrková, Eva,",jk01052883,1985,"Šimečka, Milan,;Kundera, Milan,",literatura,recenze
