title,author,author code,year,figures,description,genre,magazine
Kultura je když... /,"Kliment, Alexandr",jk01060558,1978,,estetika,úvahy,Spektrum
Hra o život /,"Dobrovský, Luboš",jn20000400479,1978,"Kundera, Milan",česká próza,studie,Spektrum
Památce Bohuslava Reynka /,"Jirousová, Věra",jn19990218035,1978,"Reynek, Bohuslav",čeští spisovatelé,studie,Spektrum
Joyceův zkušební návrat /,"Urbánek, Zdeněk",jk01140872,1978,"Joyce, James",anglicky psané drama,studie,Spektrum
Čas jako trvání a jako prázdnota /,"Černý, Václav",jk01021636,1979,,estetika,eseje,Spektrum
Archeologie času /,"Vašíček, Zdeněk",jk01141688,1979,,estetika,eseje,Spektrum
Z krajiny progresívní nepohody /,"Brabec, Jiří",jk01012890,1979,"Juliš, Emil",čeští spisovatelé,studie,Spektrum
Poznámky k T. G. Masarykovi a národnímu obrození /,"Doležal, Bohumil",jk01022603,1979,"Masaryk, Tomáš Garrigue",národní obrození;čeští spisovatelé,studie,Spektrum
Za Vítězslavem Gardavským /,"Šimsa, Jan",jn20000402827,1979,"Gardavský, Vítězslav",čeští spisovatelé,nekrology,Spektrum
Kantůrkové Sen o zlu /,Žalich,,1979,"Kantůrková, Eva",česká próza,recenze,Spektrum
Andrej Stankovič debutoval [...].,,,1979,"Stankovič, Andrej",čeští spisovatelé,bio-bibliografické poznámky,Spektrum
Rozhovor Magora s Brikciusem v hospodě u Lojzy /,"Jirous, Ivan Martin",jn19981001568,1979,"Brikcius, Eugen",happening (umění);čeští spisovatelé,biografické poznámky;rozhovory,Spektrum
Ad E. K. /,J. G,,1979,"Kantůrková, Eva",česká próza,poznámky,Spektrum
Esej o generaci /,"Kroutvor, Josef",jn99240000542,1979,"Kroutvor, Josef",estetika,eseje,Spektrum
"Dějiny, básník a mýtus :","Brabec, Jiří",jk01012890,1981,"Šiktanc, Karel",osobnosti,studie,"Spektrum : (London, Index on Censorship)"
Karel IV. v českých dějinách duchových /,"Kalista, Zdeněk",jk01052690,1981,Kare,osobnosti,studie,"Spektrum : (London, Index on Censorship)"
Filozof a Mistr /,"Uhde, Milan",jk01140606,1981,"Hus, Jan",osobnosti,eseje,"Spektrum : (London, Index on Censorship)"
Havlíčkova polemika s radikály a TGM /,(t.,,1981,"Havlíček Borovský, Karel;Masaryk, Tomáš Garrigue",osobnosti,studie,"Spektrum : (London, Index on Censorship)"
2x2 studie o Masarykovi /,"Němec, Jiří",jk01083071,1981,"Černý, Václav;Masaryk, Tomáš Garrigue;Patočka, Jan",osobnosti,recenze,"Spektrum : (London, Index on Censorship)"
"Na okraj ""Osmašedesátého"" /","Vohryzek, Josef",jk01150307,1981,"Pithart, Petr",osobnosti,recenze,"Spektrum : (London, Index on Censorship)"
O kulturní odkaz střední Evropy /,"Kundera, Milan",jk01070894,1981,"Hašek, Jaroslav;Kafka, Franz",osobnosti,eseje,"Spektrum : (London, Index on Censorship)"
Stanislav Mareš [...].,,,1981,"Mareš, Stanislav",osobnosti,biografické poznámky,"Spektrum : (London, Index on Censorship)"
Slavnost - hra - subjektivita /,"Neubauer, Zdeněk",jn19981228103,1981,"Klíma, Ladislav",osobnosti,studie,"Spektrum : (London, Index on Censorship)"
"Ptají se, já se kroutím, jak můžu, ale nakonec stejně vypovídám /","Lopatka, Jan",jk01072390,1981,"Lopatka, Jan;Bondy, Egon",osobnosti;samizdat,rozhovory,"Spektrum : (London, Index on Censorship)"
Esej o životě v ghettu /,"Kroutvor, Josef",jn99240000542,1981,,osobnosti,eseje,"Spektrum : (London, Index on Censorship)"
Demokracie a nezávislé společnosti :,"Kantůrková, Eva",jk01052883,1987,,literatura;samizdat,ankety;články;poznámky,Acta (Scheinfeld)
Pluralitní literatura /,"Šimečka, Milan",jk01123018,1987,,knižní trhy;literární tvorba;knihy;samizdatová literatura;exilová literatura,referáty,Acta (Scheinfeld)
Československé dokumentační středisko nezávislé literatury :,"Prečan, Vilém",jk01101002,1987,,spolky;archivy;dokumentační střediska;samizdatová literatura;exilová literatura,stati,Acta (Scheinfeld)
K terminologickým otázkám nezávislé literatury,,,1987,,samizdat;literatura pro děti,poznámky,Acta (Scheinfeld)
EDICE Nové cesty myšlení.,,,1987,,samizdat;literatura pro děti,soupisy;poznámky,Acta (Scheinfeld)
O jedné otázce :,"Havel, Václav",jk01040240,1987,,exil;samizdat;literární druhy;literatura pro děti;exilový tisk;samizdatové časopisy,články,Acta (Scheinfeld)
PŘEDBĚŽNÝ anotovaný seznam edice Petlice /,,,1987,,samizdat;literatura pro děti,bibliografie,Acta (Scheinfeld)
O Petlici na zámku Švarcenberku /,"Vaculík, Ludvík",jk01141068,1987,,samizdatové edice;samizdat;literatura pro děti a mládež,články,Acta (Scheinfeld)
První dojmy z časopisu O divadle /,"Goetz-Stankiewicz, Marketa",jn19981001345,1987,,samizdat;divadlo,recenze,Acta (Scheinfeld)
Nezávislý sociologický časopis v Československu /,"Kusin, Vladimir V.",mzk2002105346,1987,,samizdat;samizdatové časopisy;sociologie,recenze,Acta (Scheinfeld)
NEVÍTE o sborníku Psí? /,,,1987,,samizdat;antropologie,recenze,Acta (Scheinfeld)
Anotovaný obsah prvních dvou čísel časopisu O divadle /,"Prečan, Vilém",jk01101002,1987,,divadelní časopisy;časopisecké články,anotace,Acta (Scheinfeld)
SPRÁVA o Obsahu.,,,1987,,samizdat;samizdatové časopisy,recenze,Acta (Scheinfeld)
Imaginární interview s L. V. /,"Vaculík, Ludvík",jk01141068,1987,,exil;literární druhy;exilový tisk;česká literatura;slovenská literatura,referáty,Acta (Scheinfeld)
Nové knihy - pro memoria :,"Vladislav, Jan",jk01150006,1987,"Rotrekl, Zdeněk;Ponická, Hana",česká literatura;rumunská literatura,recenze,Acta (Scheinfeld)
Pět českých romanopisců se bere za věc světa /,"Goetz-Stankiewicz, Marketa",jn19981001345,1987,"Klíma, Ivan;Kundera, Milan;Gruša, Jiří;Vaculík, Ludvík;Škvorecký, Josef;Kosková, Helena",literární druhy;česká literatura,analýzy,Acta (Scheinfeld)
Putovní ghetto jejich osud /,"Gruša, Jiří",jk01032800,1987,,česká literatura;literární teorie,referáty,Acta (Scheinfeld)
Odpovědnost jako spisovatelův osud /,"Vladislav, Jan",jk01150006,1987,"Havel, Václav",literární druhy;osobnosti,studie,Acta (Scheinfeld)
DVAKRÁT Kautman.,,,1987,"Kautman, František;Vladislav, Jan;Martínek, Lubomír",osobnosti,recenze,Acta (Scheinfeld)
Projekt spisů Jana Patočky /,"Němec, Jiří",jk01083071,1987,"Patočka, Jan",sebrané spisy;edice;vydavatelská činnost;literární dílo;filozofické myšlení;filozofové,poznámky,Acta (Scheinfeld)
PROJEKT Spisů Jana Patočky - 2 /,,,1987,"Patočka, Jan",edice;vydavatelská činnost;literární dílo;filozofické myšlení;filozofové,komentáře,Acta (Scheinfeld)
SPISY Jana Patočky - diskusní tribuna.,,,1987,"Patočka, Jan;Kohák, Erazim;Novák;Vladislav, Jan",edice;vydavatelská činnost;literární dílo;filozofické myšlení;filozofové,poznámky,Acta (Scheinfeld)
Zvěstování Milana Uhdeho /,"Gruša, Jiří",jk01032800,1987,"Uhde, Milan",osobnosti,recenze,Acta (Scheinfeld)
Unesco cenzuruje českou a slovenskou poezii /,"Vladislav, Jan",jk01150006,1987,"Rzounek, Vítězslav;Wollman, Slavomír;Král, Petr",francouzská literatura,recenze,Acta (Scheinfeld)
Nový slovenský časopis /,Kubín,,1987,,samizdat;samizdatové časopisy;rumunská literatura,recenze,Acta (Scheinfeld)
Rapsódie a miniatúry /,"Vladislav, Jan",jk01150006,1987,"Kadlečík, Ivan",rumunská literatura,recenze,Acta (Scheinfeld)
Intelektuálové a moc v Československu :,"Rupnik, Jacques",jn19990007249,1988,,česká literatura;literatura,referáty,Acta (Scheinfeld)
ČASOPIS Střední Evropa.,,,1988,"Bohdan, Daniel;Šustrová, Petruška",samizdatové časopisy;regionální periodika;časopisecké články,recenze,Acta (Scheinfeld)
Historické studie 1978-1988 /,"Prečan, Vilém",jk01101002,1988,,dějiny,bibliografie,Acta (Scheinfeld)
Samizdatová periodika 1977-1988 /,"Prečan, Vilém",jk01101002,1988,,samizdat;samizdatové časopisy,bibliografie,Acta (Scheinfeld)
Skici k portrétům vzdorujících /,"Jungmann, Milan",jk01052189,1988,"Fuks, Ladislav;Páral, Vladimír;Hrabal, Bohumil;Pavel, Ota;Vaculík, Ludvík;Klánský, Mojmír;Pecka, Karel;Kantůrková, Eva;Trefulka, Jan;Putík, Jaroslav;Klíma, Ivan;Červenková, Jana;Kriseová, Eda;Gruša, Jiří;Brabcová, Zuzana",česká literatura;čeští spisovatelé;české spisovatelky,poznámky,Acta (Scheinfeld)
BENEFICIUM na paměť Bedřicha Fučíka,,,1988,"Fučík, Bedřich",osobnosti,zprávy,Acta (Scheinfeld)
Jan Hus Evy Kantůrkové /,"Rejchrt, Miloš",jn19990216153,1988,"Kantůrková, Eva",osobnosti,recenze,Acta (Scheinfeld)
K českému vydání Patočkových spisů /,"Prečan, Vilém",jk01101002,1988,"Patočka, Jan",literatura pro děti;osobnosti,poznámky,Acta (Scheinfeld)
Za Jiřím Theinerem :,"Havel, Václav",jk01040240,1988,"Theiner, Jiří",osobnosti,nekrology,Acta (Scheinfeld)
"Co jsou ""písačky"" /","Šimečka, Milan",jk01123018,1988,"Tatarka, Dominik",slovenská literatura,stati,Acta (Scheinfeld)
Politický esejista H.J. Hájek /,Vlaším,av20231184186,1958,Hájek,literatura,recenze,Archa (Mnichov)
Malá bilance :,Vlaším,av20231184186,1958,,literatura pro děti a mládež;exilová literatura;exilový tisk;edice;kulturní instituce a organizace,přehledy,Archa (Mnichov)
Revue Archa /,"Kratochvil, Antonín",jk01062954,1958,,regionální tisk;literární časopisy;exilový tisk,články,Archa (Mnichov)
Nad jedním omylem /,"Kratochvil, Antonín",jk01062954,1958,"Bernard, Vilém",česká literatura,recenze,Archa (Mnichov)
Hlas exilu v čísle :,"Kratochvil, Antonín",jk01062954,1958,,česká literatura,poznámky,Archa (Mnichov)
V říjnovém (6.) čísle Archy...,,,1958,,česká literatura,poznámky,Archa (Mnichov)
Otvírání studánek - na Vysočině a jinde /,"Den, Petr",jk01022204,1958,"Bureš, Miloslav;Černý, Václav",osobnosti,recenze,Archa (Mnichov)
Karel Čapek o komunismu /,Vlaším,av20231184186,1958,"Kratochvil, Antonín;Čapek, Karel",osobnosti,recenze,Archa (Mnichov)
Mlčící básník :,"Kratochvil, Antonín",jk01062954,1958,"Deml, Jakub",osobnosti,medailony,Archa (Mnichov)
Světlo naproti /,"Listopad, František",jk01072248,1958,"Listopad, František",literatura;osobnosti,eseje,Archa (Mnichov)
Venku a uvnitř :,"Listopad, František",jk01072248,1958,"Listopad, František",osobnosti,biografie,Archa (Mnichov)
Esej a fotografie /,Vlaším,av20231184186,1958,"Listopad, František",osobnosti,recenze,Archa (Mnichov)
Sedmá elegie Jiřího Ortena /,Benáček,kpwa1584,1958,"Orten, Jiří",osobnosti,eseje,Archa (Mnichov)
Román o exilu /,Němeček,mzk2007424201,1958,"Pluhař, Zdeněk",osobnosti,recenze,Archa (Mnichov)
Dílo Karla Schulze vychází ve Vatikáně /,"Kratochvil, Antonín",jk01062954,1958,"Schulz, Karel",osobnosti,úvahy,Archa (Mnichov)
Nad novou sbírkou M. Zlámala /,"Kratochvil, Antonín",jk01062954,1958,"Zlámal, Miloslav",rumunská literatura;osobnosti,recenze,Archa (Mnichov)
Svobodný člověk a moře :,"Listopad, František",jk01072248,1958,Saint-John Perse,finská literatura,studie,Archa (Mnichov)
"""Revisionismus"" maďarských spisovatelů /","Erban, Karel",jk01030518,1958,,lužickosrbská literatura;maďarští spisovatelé;revizionismus;literatura a ideologie,články,Archa (Mnichov)
Románová kronika z Plzně minulého století /,"Dresler, Jaroslav",jk01023057,1958,"Fussenegger, Gertrud;Grünwald, Leopold",maďarská literatura,recenze,Archa (Mnichov)
Přinášíme několik myšlenek... /,"Dresler, Jaroslav",jk01023057,1958,"Jaspers, Karl",maďarská literatura,poznámky,Archa (Mnichov)
Svědectví Marka Hlasko /,"Erban, Karel",jk01030519,1958,"Hłasko, Marek",polští spisovatelé;exiloví spisovatelé,články,Archa (Mnichov)
Dva hlasy z českého tisku o B.Pasternakovi /,"Kratochvil, Antonín",jk01062954,1958,"Pasternak, Boris Leonidovič",ruská literatura,komentáře,Archa (Mnichov)
Zemřel básník /,"Kratochvil, Antonín",jk01062954,1958,"Jiménez, Juan Ramón",řecká literatura,nekrology,Archa (Mnichov)
Literární sborníky v exilu /,Vlaším,av20231184186,1959,"Matějka, Ladislav;Vlach, Robert",česká literatura;exilová literatura;sborníky,recenze,Archa (Mnichov)
Více než fasády :,"Želivan, Pavel",xx0180607,1959,"Den, Petr",literatura,recenze,Archa (Mnichov)
Esej Felixe Mikuly /,Němeček,mzk2007424201,1959,"Mikula, Felix",literatura,recenze,Archa (Mnichov)
Zamyšlení nad Evropou /,"Kovárna, František",jk01062434,1959,,literatura,eseje,Archa (Mnichov)
Za jiný kraj ruce bych nespjal /,"Želivan, Pavel",xx0180607,1959,,literatura,eseje,Archa (Mnichov)
Nová kniha P.Pittra /,R,,1959,"Pitter, Přemysl",literatura,recenze,Archa (Mnichov)
30. mezinárodní kongres Penklubu :,,,1959,,literární druhy,referáty,Archa (Mnichov)
Dohra 30. kongresu Penklubu :,,,1959,,literární druhy,referáty,Archa (Mnichov)
Místo úvodu /,"Kratochvil, Antonín",jk01062954,1959,,,předmluvy,Archa (Mnichov)
Publikace a časopisy kulturní sekce Čs. uprchlického výboru v Německu.,,,1959,"Kratochvil, Antonín",exilový tisk;exilová literatura;časopisy pro děti;časopisy pro mládež;nakladatelské edice,seznamy,Archa (Mnichov)
I knihy mají své osudy /,"Kratochvil, Antonín",jk01062954,1959,,exilový tisk;exilová nakladatelství a vydavatelství;nakladatelské edice;exilová literatura,anotace,Archa (Mnichov)
Literatura katolických exulantů v době husitské /,"Želivan, Pavel",xx0180607,1959,,starší česká literatura,studie,Archa (Mnichov)
"Jubileum, ke kterému se hlásíme /","Kratochvil, Antonín",jk01062954,1959,,literární druhy;česká literatura,články,Archa (Mnichov)
"Sjezd ""socialistické kultury"" a básník František Hrubín /","Kratochvil, Antonín",jk01062954,1959,"Hrubín, František",česká literatura,komentáře;polemiky,Archa (Mnichov)
Říjnové uznání...,,,1959,"Čep, Jan",osobnosti,zprávy,Archa (Mnichov)
Více než fasády :,"Želivan, Pavel",xx0180607,1959,"Den, Petr",osobnosti,recenze,Archa (Mnichov)
Zemřel básník Jan Kárník.,,,1959,"Karník, Jan;Svítil, Josef",osobnosti,nekrology,Archa (Mnichov)
Na Hod boží vánoční...,,,1959,"Masák, Emanuel",osobnosti,medailony,Archa (Mnichov)
Dvacet let od smrti Arne Nováka /,"Kratochvil, Antonín",jk01062954,1959,"Novák, Arne",osobnosti,studie,Archa (Mnichov)
Šedesátiny Otakara Odložilíka /,"Kratochvil, Antonín",jk01062954,1959,"Odložilík, Otakar",osobnosti,medailony,Archa (Mnichov)
Případ Škvorecký /,"Kratochvil, Antonín",jk01062954,1959,"Škvorecký, Josef",osobnosti,komentáře,Archa (Mnichov)
Vlachova Princezna /,Němeček,mzk2007424201,1959,"Vlach, Robert",česká poezie,recenze,Archa (Mnichov)
Svědectví Štefana Spendera.,,,1959,"Spender, Stephen",bulharská literatura,články;úryvky,Archa (Mnichov)
Vítězství amerického černošského spisovatele :,,,1959,"Wright, Richard",bulharská literatura,biografie,Archa (Mnichov)
Čekání na Godota /,Kostka,,1959,"Beckett, Samuel",finská literatura,eseje,Archa (Mnichov)
Dopis nakladatelství Carl Schünemann v Brémách /,Čs.uprchlický výbo,,1959,,česká literatura,dopisy;kritiky,Archa (Mnichov)
Na návštěvě u Karl Jasperse /,"Jaspers, Karl",jn19990003999,1959,"Jaspers, Karl",německá literatura,rozhovory,Archa (Mnichov)
Navrátilec F. Kafka v lidovědemokratické Praze /,"Dresler, Jaroslav",jk01023057,1959,"Kafka, Franz;Reiman, Pavel;Hájek, Jiří;Eisner, Pavel;Dubský;Hrbek, Mojmír;Svoboda;Rozner, Ján;Sus, Oleg",židovská literatura,studie,Archa (Mnichov)
Zoufalství a vykoupení v díle Franze Kafky /,"Brod, Max",jk01013137,1959,"Kafka, Franz",maďarská literatura,úvahy,Archa (Mnichov)
Hřbitovy Marka Hlaska /,"Kratochvil, Antonín",jk01062954,1959,"Hłasko, Marek;Bena",německá literatura,poznámky k vydání,Archa (Mnichov)
Jan Křtitel moderní portugalské poezie :,"Listopad, František",jk01072248,1959,"Verde, Cesário",norská literatura,medailony,Archa (Mnichov)
Nad autobiografickým románem Ivana Šmeljova /,"Kratochvil, Antonín",jk01062954,1959,"Šmelev, Ivan Sergejevič",ruská literatura,recenze,Archa (Mnichov)
Literatura podkarpatských Rusínů v USA /,Černek,,1959,Maczkov,slovinská literatura,články,Archa (Mnichov)
ČSR a KSČ /,Mates,,1960,"Kopecký, Václav",literatura,recenze,Archa (Mnichov)
Nad třemi kongresy /,,,1960,"Jelínek, Ivan;Romanovski;Lesný",literární druhy,referáty,Archa (Mnichov)
Věznění spisovatelé /,Němeček,mzk2007424201,1960,"Albert;Beran, Josef;Berounský, Stanislav;Braito, Silvestr Maria;Dokulil, Jan;Fučík, Bedřich;Gojdič, Pavol;Hlouch, Josef;Jarolímek;Jehlička, Ladislav;Kajpr, Adolf;Kalista, Zdeněk;Karhan;Klíma, Vlastimil;Koch;Kostohryz, Josef;Křelina, František;Maršálek;Okáli, Daniel;Opasek, Anastáz;Palivec, Josef;Peška, Zdeněk;Prokůpek, Václav;Renč, Václav;Ryba, Bohumil;Skácel;Šilhan, Filip;Tajovský, Bohumil Vít;Trochta, Štěpán;Tyl;Urban;Vacková, Růžena;Zahradníček, Jan;Zela, Stanislav;Bár, Zdeněk;Dacík, Reginald Maria;Chytil, Václav;Kubeš;Rotrekl, Zdeněk;Suchý, Josef;Svobodová, Nina;Matocha, Josef;Valenta, Edvard;Urban, Milo;Kuncíř, Ladislav;Kletus-Petěrka;Knap, Josef;Mareš, Michal;Habáň, Metoděj;Kratochvil, Antonín",česká literatura;čeští spisovatelé;české spisovatelky,seznamy,Archa (Mnichov)
Paříž očima M. Šaška /,sv,,1960,"Šašek, Miroslav",osobnosti,glosy,Archa (Mnichov)
Co je člověk :,"Mikula, Felix",jk01081607,1960,"Škvorecký, Josef",osobnosti,recenze,Archa (Mnichov)
Případ Chochlov - :,Vlaším,av20231184186,1960,Chochlov,ruská literatura;překlady z ruštiny;překlady do němčiny,recenze,Archa (Mnichov)
Česká literatura v exilu /,"Jíra, Jaroslav",jk01051770,1960,,česká literatura,články,Archa (Mnichov)
Nová politická literatura v ČSR /,Mates,,1961,,česká literatura,recenze,Archa (Mnichov)
Dne 11. února t.r. zemřel v třebíčské nemocnici...,,,1961,"Deml, Jakub",osobnosti,zprávy,Archa (Mnichov)
Odysseus ve stopách Jobových /,Lesný,,1961,"Jelínek, Ivan",osobnosti,úvahy,Archa (Mnichov)
Román Poutník neznámých oceánů... /,Vlaším,av20231184186,1960,"Kratochvil, Antonín",osobnosti,recenze,Archa (Mnichov)
Pětasedmdesátiny Josefa Palivce /,"Kratochvil, Antonín",jk01062954,1961,"Palivec, Josef",osobnosti,medailony,Archa (Mnichov)
Jan Zahradníček /,"Kratochvil, Antonín",jk01062954,1961,"Zahradníček, Jan",osobnosti,nekrology,Archa (Mnichov)
Pražská Světová literatura...,,,1960,"Camus, Albert",finská literatura,glosy,Archa (Mnichov)
"Peter Demetz, :",,,1961,"Demetz, Peter;Urzidil, Johannes",maďarská literatura,zprávy,Archa (Mnichov)
Uměleckým profilem a vyprávěčským uměním... /,Sv,,1960,"Fussenegger, Gertrud;Putík, Jaroslav",maďarská literatura,polemiky,Archa (Mnichov)
Spor o Kafku /,A,,1961,"Kafka, Franz;Dresler, Jaroslav;Dubský, Ivan",židovská literatura;komunisté;komunismus,zprávy,Archa (Mnichov)
Ruská exilová literatura... /,Vlaším,av20231184186,1961,"Lania, Leo;Masaryk, Jan",maďarská literatura,poznámky,Archa (Mnichov)
"Hlaskův ""ráj"" /",Němeček,mzk2007424201,1961,"Hłasko, Marek",maďarská literatura;německá literatura,poznámky,Archa (Mnichov)
Nacionalismus na pranýři /,"Dresler, Jaroslav",jk01023057,1960,"Dross;Nowakowski, Tadeusz",německá literatura,recenze,Archa (Mnichov)
Pasternak stále živý /,Svoboda,,1961,"Kovtun, Jiří;Pasternak, Boris Leonidovič",ruská literatura,recenze,Archa (Mnichov)
Ukrajinská lyrika.,,,1960,"Hordyns'kyj, Svjatoslav;Kovtun, Jiří",slovinská literatura,referáty,Archa (Mnichov)
"Věda a demagogie čili ""scientia ad usum Delphini politici"" /",Lesný,,1961,,literatura,recenze,Archa (Mnichov)
Dějiny KSČ /,Mates,,1961,"Reiman, Pavel",literatura,recenze,Archa (Mnichov)
Dokončené dialogy /,"Bradáč, Ludvík",jk01012928,1962,"Kratochvil, Antonín",literární teorie,recenze,Archa (Mnichov)
Audiatur et altera pars /,"Kratochvil, Antonín",jk01062954,1961,"Kratochvil, Antonín;Herben, Ivan",česká literatura,polemiky,Archa (Mnichov)
Revizionistické tendence v současné čs. literatuře /,Rys,,1961,"Kratochvil, Antonín",česká literatura,recenze,Archa (Mnichov)
Vzpomínka na Eduarda Basse /,Láska,jx20050819022,1962,"Bass, Eduard",osobnosti,paměti,Archa (Mnichov)
Komunistické rozpaky nad Konstantinem Bieblem /,Zemek,,1961,"Biebl, Konstantin",osobnosti,medailony,Archa (Mnichov)
Křesťanská akademie v Římě... /,"Němeček, Josef",,1961,"Den, Petr",osobnosti,recenze,Archa (Mnichov)
Jaroslav Durych o estetice proletariátu /,"Dresler, Jaroslav",jk01023057,1962,"Durych, Jaroslav",osobnosti,komentáře,Archa (Mnichov)
Bloudění :,"Kratochvil, Antonín",jk01062954,1962,"Durych, Jaroslav;Brabec, Jiří",čeští spisovatelé;literární dílo,články,Archa (Mnichov)
Durychovy kulturně-politické úvodníky /,"Kratochvil, Antonín",jk01062954,1962,"Durych, Jaroslav",osobnosti,poznámky,Archa (Mnichov)
List z moderní kroniky /,Němeček,mzk2007424201,1962,"Feierabend, Ladislav Karel",osobnosti,recenze,Archa (Mnichov)
Básnická prvotina Přemka Kociána /,"Kratochvil, Antonín",jk01062954,1961,"Kocián, Přemek",osobnosti,recenze,Archa (Mnichov)
Nedožité osmdesátiny prof.dr. Josefa Kratochvila (1882-1940) /,r.s,,1962,"Kratochvil, Josef",osobnosti,medailony,Archa (Mnichov)
"Arena, mezinárodní literární revue Penklubu v Londýně...",,,1961,"Palivec, Josef;Kratochvil, Antonín",osobnosti,zprávy,Archa (Mnichov)
Na co se nezapomíná... /,Němeček,mzk2007424201,1962,"Svoboda, Květoslav",memoárová literatura,recenze,Archa (Mnichov)
V minulém čísle Archy...,,,1961,"Lania, Leo;Masaryk, Jan",maďarská literatura,recenze,Archa (Mnichov)
Básně z vězení /,"Kovtun, Jiří",jk01062535,1961,"Jesenin-Vol'pin, Aleksandr Sergejevič",ruská literatura,poznámky,Archa (Mnichov)
Rozšíření organizace exilových spisovatelů sdružených v Penklubu /,"Kratochvil, Antonín",jk01062954,1963,,literární druhy;maďarská literatura,zprávy,Archa (Mnichov)
Skaut-exulant /,Němeček,mzk2007424201,1963,,exilový tisk;časopisy pro mládež,recenze,Archa (Mnichov)
Perspektivy a Studie /,Svoboda,,1963,"Den, Petr;Vrána, Karel",literární žánry,recenze,Archa (Mnichov)
Povídky ze sobího království /,"Štěrba, Francisco Carlos",jn19981002479,1963,"Baby, J. K.",osobnosti,recenze,Archa (Mnichov)
Vídeňská pocta Františku Langrovi /,"Dresler, Jaroslav",jk01023057,1963,"Langer, František",osobnosti,referáty,Archa (Mnichov)
Vzpomínka na profesora Emanuela Rádla :,"Pitter, Přemysl",jk01093275,1963,"Rádl, Emanuel",osobnosti,medailony,Archa (Mnichov)
POZDRAVENÍ Zdenku Rotreklovi /,Red,,1963,"Rotrekl, Zdeněk",čeští spisovatelé,medailony,Archa (Mnichov)
K pevnému bodu /,Lesný,,1963,"Kavka, Jiří",osobnosti,eseje,Archa (Mnichov)
Nad novou prací Václava Lásky /,"Kratochvil, Antonín",jk01062954,1963,"Fernández Flórez, Wenceslao;Láska, Václav",španělská literatura,recenze,Archa (Mnichov)
Otřásající svědectví flámského misionáře :,"Kratochvil, Antonín",jk01062954,1963,"Van Coillie, Dries",srbochorvatská literatura,recenze,Archa (Mnichov)
Kde přestal pan Ferd. Peroutka? /,Konšel,,1951,"Peroutka, Ferdinand;Beneš, Edvard",literatura,polemiky,Bohemia
"Boříme špatné, vzápětí však budujeme lepší :",Janík-Horák,kpwa5007,1953,,exilová publicistika,články,Bohemia (Kolín nad Rýnem)
Dvě pozoruhodné knihy exilu /,Spectator,,1953,"Laušman, Bohumil",osobnosti,recenze,Bohemia (Kolín nad Rýnem)
Literatura království českého /,-sva,,1954,,dějiny české literatury,články,Bohemia (Kolín nad Rýnem)
Poezie doma a v exilu /,-sva,,1954,,česká literatura,komentáře,Bohemia (Kolín nad Rýnem)
K pátému výročí Bohemie /,Pekelský,kpwa5006,1955,,exilový tisk;výročí,úvodníky,Bohemia (Kolín nad Rýnem)
Zahradník českého komunismu :,Janík-Horák,kpwa5007,1955,"Firt, Julius",osobnosti,biografie,Bohemia (Kolín nad Rýnem)
RFE je americká propaganda :,Siriu,,1955,"Kohout, Jára",osobnosti,kritiky,Bohemia (Kolín nad Rýnem)
Perličky z 2.sjezdu čsl. spisovatelů /,MTP,,1956,,literární druhy;česká literatura,komentáře,Bohemia (Kolín nad Rýnem)
"Hledám, o co bych se opřel /",Reichenberger,,1956,"Biebl, Konstantin;Slabý, Zdeněk Karel",osobnosti,glosy,Bohemia (Kolín nad Rýnem)
Poctěno první cenou RFE :,Siriu,,1956,"Listopad, František",osobnosti,recenze,Bohemia (Kolín nad Rýnem)
Zachovejme národní soudržnost! :,Janík-Horák,kpwa5007,1956,"Peroutka, Ferdinand",osobnosti,kritiky,Bohemia (Kolín nad Rýnem)
Osamělý muž si píská v lese /,Reichenberger,,1956,"Peroutka, Ferdinand;Nezval, Vítězslav;Holan, Vladimír;Neumann, Stanislav Kostka",osobnosti,kritiky,Bohemia (Kolín nad Rýnem)
Dva bratři :,Benedikt,,1956,"Borin;Jariš, Milan",bulharská literatura,poznámky,Bohemia (Kolín nad Rýnem)
Svoboda literatury i umění a výchova lidu /,Wierer,,1957,,česká literatura;literární teorie,úvahy,Bohemia (Kolín nad Rýnem)
Portrét měsíce.,,,1957,"Baťa, Jan Antonín;Svatopluk, T.",osobnosti,portréty,Bohemia (Kolín nad Rýnem)
Rozhovor s autorem Čsl. tragédie /,Brouček,mzk2010573546,1957,Brouček,osobnosti;Československá tragédie,rozhovory,Bohemia (Kolín nad Rýnem)
Gornostaj a co ještě? /,Benedik,,1957,"Kaplický, Václav;Jariš, Milan",osobnosti,polemiky,Bohemia (Kolín nad Rýnem)
Za Zdeňkem Němečkem...,,,1957,"Němeček, Zdeněk",osobnosti,nekrology,Bohemia (Kolín nad Rýnem)
Konečně svědomí?,,,1957,"Nezval, Vítězslav",česká literatura;osobnosti,glosy,Bohemia (Kolín nad Rýnem)
"Ferdinand Peroutka, jaký vskutku je /",Siriu,,1957,"Peroutka, Ferdinand",osobnosti,medailony,Bohemia (Kolín nad Rýnem)
Nové knihy /,Vávra,jx20090506023,1958,"Mokrý, Adolf",literatura,recenze,Bohemia (Kolín nad Rýnem)
Vondrák contra Masaryk /,Ludvík,,1958,"Janík-Horák;Masaryk, Tomáš Garrigue",literatura,recenze,Bohemia (Kolín nad Rýnem)
